Leader,Follower,Shift,Correlation
JPM,COF,15,0.8001909363936628
COF,JPM,5,0.8822916848948619
COF,JPM,15,0.7417079436271111
UNH,MRK,5,0.7772563663869029
UNH,MRK,15,0.8449149385727617
UNH,MRK,25,0.8558934442374272
ACN,UNH,5,0.7205747906761555
ACN,UNH,15,0.7618343490725523
ACN,UNH,25,0.7982062473809207
CRM,UNH,5,0.7277444905551316
CRM,UNH,15,0.747729208361749
CRM,UNH,25,0.7455541688463593
UNH,UPS,5,0.794487567587334
UNH,UPS,15,0.8137088562012204
UNH,UPS,25,0.7929650890263116
UPS,UNH,5,0.7634482617645402
UPS,UNH,15,0.7357246177878166
UPS,UNH,25,0.7537961491601368
ELV,UNH,5,0.7104524561310321
ELV,UNH,15,0.7093547895369232
ELV,UNH,25,0.7238021415131907
UNH,REGN,5,0.8328241323995803
UNH,REGN,15,0.8813489529864287
UNH,REGN,25,0.89846804123655
REGN,UNH,5,0.7977937482562827
REGN,UNH,15,0.7741365307618705
REGN,UNH,25,0.7158342609054923
UNH,TGT,5,0.7270817664313192
UNH,TGT,15,0.7825224271880369
UNH,TGT,25,0.8249645813519331
UNH,BDX,5,0.8928900947508086
UNH,BDX,15,0.906559543894754
UNH,BDX,25,0.8563910269774287
UNH,FDX,5,0.7049331592680097
UNH,FDX,15,0.7731689814777585
UNH,FDX,25,0.8289982745079675
KO,V,5,0.7478600005971112
KO,V,15,0.7646152015501829
ABT,V,5,0.8221470890956313
ABT,V,15,0.7248210261829443
PM,V,5,0.8220279254939057
PM,V,15,0.8014284457282284
PM,V,25,0.7686234468035217
GILD,V,5,0.7389500866609465
GILD,V,15,0.7997967027220007
GILD,V,25,0.7186642926071527
T,V,5,0.7778970463180518
T,V,15,0.7926776629496305
T,V,25,0.7592102582853991
CME,V,5,0.8018946608797549
CME,V,15,0.7965843449872888
CME,V,25,0.7870283613105601
PG,ACN,5,0.7354529298249446
PG,ACN,15,0.7606803022180447
CSCO,MA,5,0.7571878104870597
CSCO,MA,15,0.7478753142325552
RTX,MA,5,0.7089373511109686
RTX,MA,15,0.7537976075433216
RTX,MA,25,0.7547046240019057
GE,MA,5,0.7639142727058297
GE,MA,15,0.7567619380989349
GE,MA,25,0.7020530319346538
GILD,MA,5,0.7107197237871722
GILD,MA,15,0.7735936122188368
GILD,MA,25,0.7027489428163913
MO,MA,5,0.7028463045777673
MO,MA,15,0.7094272025880265
MO,MA,25,0.7076141956793763
AVGO,ORCL,5,0.8585829291767328
AVGO,ORCL,15,0.8249422315645126
AVGO,ORCL,25,0.7895756437725755
ORCL,AVGO,5,0.8944943759334125
ORCL,AVGO,15,0.8670619334101859
ORCL,AVGO,25,0.8547740147229436
ABBV,AVGO,5,0.7184102075061783
ABBV,AVGO,15,0.7876380919477334
ABBV,AVGO,25,0.8418472748573151
AVGO,CSCO,5,0.8435207383995595
AVGO,CSCO,15,0.7903329116124511
AVGO,CSCO,25,0.7316778568080279
CSCO,AVGO,5,0.8818877899184825
CSCO,AVGO,15,0.8643335938510319
CSCO,AVGO,25,0.8028642919560437
AVGO,NFLX,5,0.77985342252958
AVGO,NFLX,15,0.8063611304915078
AVGO,NFLX,25,0.7849802534456112
AVGO,WMT,5,0.7721107290741024
AVGO,WMT,15,0.7094346188393371
AVGO,AMD,5,0.7432306185478997
AVGO,AMD,15,0.7196993926632504
AVGO,AMD,25,0.7006925203244897
AMD,AVGO,5,0.7773485650217055
AMD,AVGO,15,0.8024677194770243
AMD,AVGO,25,0.8166828009412763
AVGO,CAT,5,0.7730283180872463
AVGO,CAT,15,0.7243456928087608
CAT,AVGO,5,0.8191833183885406
CAT,AVGO,15,0.8378090081499253
CAT,AVGO,25,0.8343386773131466
AVGO,MS,5,0.8505361914182428
AVGO,MS,15,0.8006543232392724
MS,AVGO,5,0.8957029349362877
MS,AVGO,15,0.864066628789068
MS,AVGO,25,0.8325735502292629
AVGO,GS,5,0.894335224307005
AVGO,GS,15,0.8550340929499375
AVGO,GS,25,0.7627628826803569
GS,AVGO,5,0.9301789356163154
GS,AVGO,15,0.8966787544169731
GS,AVGO,25,0.8528476421086186
AVGO,RTX,5,0.8655344152254018
AVGO,RTX,15,0.844818519086593
AVGO,RTX,25,0.8212576753745756
RTX,AVGO,5,0.8869348316904156
RTX,AVGO,15,0.8962847512634166
RTX,AVGO,25,0.8720352781228281
AVGO,BLK,5,0.8146309400886652
AVGO,BLK,15,0.782270776705223
BLK,AVGO,5,0.8307879724508052
BLK,AVGO,15,0.7985162715301182
BLK,AVGO,25,0.7707339456711315
MDT,AVGO,5,0.7381507604045404
MDT,AVGO,15,0.862405795730326
MDT,AVGO,25,0.8876508363765422
AVGO,GE,5,0.8902026889613637
AVGO,GE,15,0.8631206728869738
AVGO,GE,25,0.8395790390293374
GE,AVGO,5,0.910468080629425
GE,AVGO,15,0.8839109134505249
GE,AVGO,25,0.8438384800403296
ADI,AVGO,5,0.7890798930771181
ADI,AVGO,15,0.7363954999402059
AVGO,BKNG,5,0.713732217584064
AVGO,BKNG,15,0.8266222916183299
AVGO,BKNG,25,0.8027805372833966
AVGO,C,5,0.9048288529322964
AVGO,C,15,0.8575241378259119
AVGO,C,25,0.7504984589712974
C,AVGO,5,0.9466985603137098
C,AVGO,15,0.9129170675465852
C,AVGO,25,0.8675482009373194
AVGO,LRCX,5,0.871492255267248
AVGO,LRCX,15,0.8268119852373149
AVGO,LRCX,25,0.7870298334609518
LRCX,AVGO,5,0.9071231828360152
LRCX,AVGO,15,0.8999470887526211
LRCX,AVGO,25,0.8673103790348644
AVGO,MO,5,0.7917369290630819
AVGO,MO,15,0.8236591267950852
AVGO,MO,25,0.8427279802612014
MO,AVGO,5,0.7731253531981895
MO,AVGO,15,0.7682041330913033
MO,AVGO,25,0.7690200156092948
AVGO,SCHW,5,0.8428802459007574
AVGO,SCHW,15,0.8792660998795326
AVGO,SCHW,25,0.858651701549235
SCHW,AVGO,5,0.8137447568923564
SCHW,AVGO,15,0.7620938524376901
SCHW,AVGO,25,0.7219357111126767
AVGO,AXP,5,0.7659312323667602
AVGO,AXP,15,0.7026251142433129
AXP,AVGO,5,0.7932718251047253
AXP,AVGO,15,0.720024673393419
AVGO,NSC,5,0.7458284683060098
AVGO,NSC,15,0.7248031479387045
NSC,AVGO,5,0.7939484752167472
